Titre,Labels,Content
Panne de courant – gel des tuyaux et chauffage auxiliaire,"panne de courant, gel tuyaux, chauffage auxiliaire, conduit cheminée, appareil extérieur, camping, monoxyde de carbone","Sauf avis contraire de la municipalité, il faut laisser couler un filet d’eau et tirer la chasse quelques fois par jour pour prévenir le gel des tuyaux. Si l’on dispose d’un chauffage auxiliaire, il faut l’allumer avant que la maison ne soit trop froide. Si un raccordement au conduit de cheminée est nécessaire, il faut d’abord fermer l’appareil habituel. Il ne faut jamais utiliser à l’intérieur des appareils de chauffage, d’éclairage ou des poêles conçus pour l’extérieur ou le camping, comme les barbecues au charbon ou au propane, les chaufferettes de camping ou les poêles au propane, car ils présentent un risque d’incendie et dégagent du monoxyde de carbone."
Génératrice – règles de sécurité,"génératrice, panne de courant, échappement, extérieur, intempéries, carburant, courant principal","Si l’on utilise une génératrice, il faut suivre les instructions du fabricant, fermer l’interrupteur principal de courant avant de la débrancher, l’installer à l’extérieur sur une base surélevée et à l’abri des intempéries, vérifier que les câbles ne touchent pas l’eau, s’assurer que les gaz d’échappement n’entrent pas dans la maison par une fenêtre ou un soupirail, respecter la capacité de courant de l’appareil, et arrêter la génératrice puis la laisser refroidir avant de refaire le plein."
Sécurité hors route – principes de base,"hors route, milieu isolé, sécurité, orientation, réseau cellulaire, premiers soins, responsabilité","En intervention hors route, les principes de sécurité sont : dire où l’on va pour qu’on sache où l’on se trouve en tout temps, savoir où l’on est pour pouvoir orienter les secours, garder le contact en étant accompagné ou en ayant un équipement de communication sans dépendre uniquement du cellulaire, et compter d’abord sur soi en emportant une trousse de premiers soins car les secours peuvent mettre du temps à arriver."
Sécurité hors route – conduite à tenir en urgence en milieu isolé,"hors route, urgence, milieu isolé, sécuriser victime, communication, 911","En situation d’urgence en milieu isolé, il faut penser d’abord à sa propre sécurité, sécuriser la victime, trouver un moyen de communication et contacter le 911."
Feux extérieurs – conditions autorisées,"feu extérieur, foyer conforme, bois, interdiction, matériaux de construction, surveillance adulte","Les feux à ciel ouvert sont interdits sur l’ensemble du territoire. Il est toutefois possible d’utiliser un foyer extérieur conforme pour brûler uniquement du bois. Il est interdit de brûler des matériaux de construction. Le foyer ne peut être utilisé que si seul le bois sert de combustible, si les matières combustibles ne dépassent pas la hauteur de l’âtre, si le feu reste constamment sous la surveillance d’un adulte et si un moyen d’extinction rapide est disponible sur place, comme un seau d’eau, un tuyau d’arrosage ou un extincteur."
Feux extérieurs – respect du voisinage,"feu extérieur, fumée, voisinage, nuisance","Les feux extérieurs doivent être utilisés en respectant le voisinage. La fumée peut voyager et entrer dans les maisons, il faut donc éviter d’incommoder les voisins."
Cendres chaudes – élimination sécuritaire,"cendres chaudes, foyer, pelle métal, contenant métallique, couvercle, monoxyde de carbone","Les cendres chaudes doivent être retirées régulièrement du foyer à l’aide d’une pelle de métal, jamais avec un aspirateur. Elles doivent être placées dans un contenant métallique à fond surélevé muni d’un couvercle métallique, puis sorties à l’extérieur, car elles dégagent du monoxyde de carbone."
Cendres chaudes – distance et délai avant jet,"cendres chaudes, surface non combustible, distance 1 m, 7 jours, refroidissement, poubelle, matières organiques","Le contenant de cendres doit être installé sur une surface non combustible à au moins un mètre de tout objet. Il faut attendre au moins 7 jours avant de transvider les cendres dans un autre contenant comme une poubelle ou un bac de matières organiques, et les brasser pour s’assurer qu’elles sont parfaitement refroidies. Si possible, il est conseillé de les conserver dehors tout l’hiver et de les jeter seulement au printemps."
Numéro civique – visibilité et dimensions minimales,"numéro civique, urgence, adresse, visibilité, façade, voie publique, dimensions","Le numéro civique est capital en situation d’urgence. Les chiffres doivent mesurer au minimum 77 mm de hauteur et 10 mm de largeur sur un fond contrastant. La plaque doit être installée en permanence en façade du bâtiment et être visible de la voie publique. Un numéro mal placé, incomplet, trop petit ou non éclairé peut ralentir l’arrivée des secours."
Monoxyde de carbone – définition et sources,"monoxyde de carbone, CO, gaz invisible, inodore, intoxication, appareils à combustible, véhicules","Le monoxyde de carbone est un gaz invisible et inodore responsable de nombreuses intoxications, pouvant entraîner des séquelles irréversibles ou la mort. Il est produit par les appareils et véhicules qui brûlent un combustible comme l’essence, le diesel, le bois, le propane, le gaz naturel, le mazout, le naphte, le kérosène ou le charbon, surtout lorsqu’ils fonctionnent mal, sont mal utilisés ou insuffisamment ventilés."
Monoxyde de carbone – appareils à risque et gravité de l’intoxication,"monoxyde de carbone, fournaise, foyer, génératrice, barbecue, souffleuse, chauffe-eau, exposition","Les sources courantes de monoxyde de carbone incluent les systèmes de chauffage non électriques, les voitures, motos, VTT, motoneiges, les génératrices, les petits outils à moteur, les électroménagers au gaz ou au propane et les appareils de plein air comme les barbecues et réchauds. Une intoxication survient quand le CO remplace l’oxygène dans le sang. Sa gravité dépend de la concentration dans l’air, du temps d’exposition et de l’état de santé de la personne."
Monoxyde de carbone – symptômes et personnes plus vulnérables,"monoxyde de carbone, symptômes, nausées, mal de tête, fatigue, perte de conscience, grossesse, enfants, personnes âgées","Une intoxication légère ou modérée au monoxyde de carbone peut provoquer des nausées, des maux de tête et de la fatigue, avec des symptômes ressemblant à ceux d’une grippe ou d’une gastro-entérite. Une intoxication grave peut entraîner une perte de conscience puis la mort en quelques minutes. Les femmes enceintes et leur fœtus, les nouveau-nés, les enfants, les personnes âgées, celles souffrant de problèmes pulmonaires, respiratoires ou cardiovasculaires, les personnes anémiques, les fumeurs et les personnes faisant un effort intense dans un milieu contaminé sont plus à risque."
Avertisseur de monoxyde de carbone – utilité et caractéristiques,"avertisseur monoxyde de carbone, détecteur CO, pile, alarme, afficheur numérique, certification","L’avertisseur de monoxyde de carbone est le seul moyen de signaler la présence de ce gaz dans une résidence. Il doit comporter un logo de certification, une pile permettant le fonctionnement en cas de panne électrique, un avertisseur de pile faible, un signal lumineux de fonctionnement, une alarme sonore et lumineuse, un bouton test, et idéalement un afficheur numérique de concentration si la résidence abrite une source permanente de CO. Un avertisseur de fumée ne détecte pas le monoxyde de carbone."
Avertisseur CO – certification et travaux à l’explosif,"avertisseur CO, certification CSA, ULC, excavation, explosif, ventilation, sous-sol","Les logos de certification reconnus incluent le logo CSA avec la mention CSA 6.19-01, le logo CSA attestant des exigences de sécurité électrique, et le logo ULC, parfois accompagné de la mention ul2034. Lors de travaux d’excavation à l’explosif près d’une habitation, du monoxyde de carbone peut s’infiltrer par la partie souterraine, même plusieurs jours après. Il faut alors disposer d’un avertisseur fonctionnel au sous-sol et bien ventiler la maison, par exemple avec deux fenêtres ouvertes et un échangeur d’air en fonctionnement continu pendant au moins 48 heures."
Avertisseur CO – emplacement d’installation,"avertisseur CO, installation, chambres à coucher, étage, garage, produits chimiques, atelier, chalet, roulotte","L’avertisseur de monoxyde de carbone doit être installé près des chambres à coucher afin d’entendre l’alarme pendant le sommeil, et à chaque étage où se trouvent des chambres. Il peut aussi être installé dans des lieux d’utilisation d’appareils, outils ou véhicules à combustible comme un atelier, un cabanon, un chalet ou une roulotte. Il faut éviter de l’installer à l’intérieur du garage et dans une pièce non aérée où sont entreposés des produits chimiques comme les solvants, décapants ou le chlore."
Avertisseur CO – conduite à tenir quand l’alarme sonne,"avertisseur CO, alarme, urgence, évacuation, 911, centre antipoison, assistance médicale","Si l’avertisseur de monoxyde de carbone sonne, même par intermittence, c’est une urgence. En présence de symptômes comme maux de tête, nausées, étourdissements, faiblesse, chute inattendue ou évanouissement, il faut évacuer immédiatement et demander une assistance médicale. En l’absence de symptômes, il faut fermer l’alimentation en combustible, ouvrir portes et fenêtres puis évacuer. Il faut composer le 9-1-1 ou appeler le Centre antipoison du Québec au 1 800 463-5060 et ne pas réintégrer les lieux sans autorisation."
Avertisseur CO – entretien et durée de vie,"avertisseur CO, entretien, aspirateur, brosse souple, test mensuel, changement pile, durée de vie","L’entretien d’un avertisseur de monoxyde de carbone consiste généralement à le nettoyer tous les six mois en passant doucement l’aspirateur avec une brosse souple dans les orifices, sans toucher les capteurs, à vérifier l’alimentation électrique ou la pile une fois par mois, et à remplacer la pile aux changements d’heure au printemps et à l’automne. Les avertisseurs ont une durée de vie limitée ; certains modèles sont garantis 5 ans et recommandés au remplacement 7 ans après installation."
Avertisseurs de fumée – choix du modèle,"avertisseur fumée, pile longue durée, électrique, pile d’appoint, interconnecté, CO combiné","Pour choisir un avertisseur de fumée, il est conseillé d’opter pour un modèle à pile longue durée ou, pour un modèle électrique, avec une pile d’appoint en cas de panne. Les avertisseurs interconnectés sont recommandés car ils sonnent tous en même temps. Si le domicile possède des appareils fixes à combustion ou un garage adjacent, il faut prévoir aussi un avertisseur de monoxyde de carbone ou un appareil combiné fumée + CO."
Avertisseurs de fumée – emplacement et accessibilité,"avertisseur fumée, installation, étage, sous-sol, corridor, aire commune, salle de bain, bouche d’aération, malentendant","Les avertisseurs de fumée doivent être installés à chaque étage de la maison, y compris au sous-sol, dans les corridors et aires communes. Ils doivent être placés loin des appareils de cuisson, des bouches d’aération et des salles de bain. Pour les personnes malentendantes, il existe des avertisseurs avec lumière stroboscopique ou des dispositifs à vibration à placer sous l’oreiller ou le lit."
"Avertisseurs de fumée – vérification, durée de vie et responsabilités","avertisseur fumée, test mensuel, chandelle, remplacement, 10 ans, peinture, locataire, propriétaire","Une fois par mois, il faut vérifier la pile d’un avertisseur de fumée en appuyant sur le bouton d’essai. Une fois par an, il faut vérifier sa capacité à détecter la fumée en éteignant une chandelle près de lui ; s’il ne sonne pas, il doit être remplacé. Un avertisseur de fumée a une durée de vie de 10 ans. Il ne faut jamais retirer sa pile ni le débrancher, même en cas de déclenchement inutile ; il faut utiliser la touche sourdine. Il ne faut jamais le peindre. Les propriétaires doivent fournir des avertisseurs en bon état de marche ; les locataires doivent les vérifier, les entretenir et remplacer les piles si nécessaire."
Extincteur portatif – choix et cote minimale,"extincteur, poudre polyvalente, ABC, 2A 10B C, ULC, feu bois, feu huile, feu électrique","L’extincteur recommandé pour une habitation est un extincteur portatif à poudre polyvalente portant le sceau d’homologation d’un organisme reconnu comme l’ULC. Il doit pouvoir éteindre des feux de classe A (bois, papier, tissu), B (huile, essence, solvants, graisse, beurre) et C (appareils électriques sous tension). La cote minimale conseillée est de 2A 10B C."
Extincteur portatif – installation et entretien,"extincteur, installation, support, 10 cm sol, 1,5 m, inspection mensuelle, pression, corrosion","L’extincteur doit être installé bien en vue, près d’une sortie, sans être trop près d’une source potentielle d’incendie. Il doit être sur un support prévu à cette fin, à au moins 10 cm du sol et à un maximum de 1,5 mètre, sans objets suspendus dessus. Chaque mois, il faut vérifier sa présence à l’endroit désigné, sa visibilité, la lisibilité des consignes, son poids, l’absence de rouille, de fuite ou d’obstruction, et la pression avec l’aiguille dans le vert. Il doit être vérifié annuellement par une personne qualifiée. Un extincteur rechargeable doit être rempli tous les six ans et après chaque usage."
Extincteur portatif – utilisation sur début d’incendie,"extincteur, utilisation, début d’incendie, évacuation, 911, base des flammes, fumée","En cas de feu, il faut d’abord faire évacuer le domicile puis appeler le 9-1-1. L’extincteur ne doit être utilisé que sur un petit feu ou un feu naissant, si la pièce n’est pas remplie de fumée. Il faut vérifier qu’il est plein, se placer entre le feu et une sortie, à 2 ou 3 mètres du feu, retirer la goupille, orienter le boyau vers la base des flammes, effectuer des mouvements de gauche à droite, et évacuer si le feu ne s’éteint pas ou si la fumée remplit la pièce. Même si le feu semble éteint, il faut appeler les pompiers car il peut s’être propagé dans les murs ou la hotte de la cuisinière."
Extincteur portatif – mise au rebut,"extincteur, jeter, poudre chimique, halon, écocentre, rechargeable, fournisseur","Pour jeter un extincteur jetable à poudre chimique, il faut le vider à l’extérieur un jour sans vent, puis le déposer dans un écocentre. Un appareil jetable au halon doit être retourné au fabricant ou au fournisseur de services. Un appareil rechargeable de plus de 12 ans ou endommagé ne doit pas être vidé ; il doit être apporté au fournisseur de services pour inspection et destruction ou être retourné au fabricant. Les extincteurs portatifs ne doivent être utilisés que pour des feux naissants."
Barbecue au propane – transport et vérification saisonnière,"barbecue propane, bombonne, transport voiture, valve, bouchon étanchéité, fuite, eau savonneuse","Le transport d’une bombonne de propane en voiture doit se faire en position debout, bien immobilisée, avec la valve de sécurité fermée, une fenêtre ouverte ou le coffre entrouvert. Les bombonnes de 20 kg doivent être munies d’un bouchon d’étanchéité. Avant le premier usage de la saison, il faut retirer les pièces mobiles, nettoyer l’intérieur et l’extérieur, asperger les raccords avec de l’eau savonneuse pour détecter les fuites, remplacer toute pièce défectueuse si des bulles apparaissent, et remplacer les bombonnes défectueuses ou âgées de plus de 10 ans via le distributeur de propane."
Barbecue au propane – utilisation sécuritaire,"barbecue propane, allumage, intérieur interdit, distance mur, surveillance, fermeture robinet, bombonne","L’utilisation d’un barbecue au propane exige de lire les instructions du fabricant, de ne jamais l’utiliser à l’intérieur, de laisser un mètre entre l’appareil et la structure ou le mur, d’ouvrir le couvercle avant le gaz puis d’actionner l’allumage, de ne pas tenter plus de deux démarrages, de surveiller le barbecue en permanence, de ne pas le déplacer allumé, d’éteindre d’abord le robinet de la bombonne puis les boutons de contrôle, et de ne jamais entreposer la bombonne à l’intérieur."
Barbecue au propane – incendie et entreposage,"barbecue propane, feu, bombonne en feu, extincteur ABC, 911, cabanon, stockage extérieur","Si le barbecue prend feu, il faut fermer le robinet de la bombonne si possible, fermer le couvercle pour étouffer le feu, appeler le 9-1-1, ne pas utiliser d’eau et employer un extincteur approprié de type ABC. Le barbecue doit être inspecté par un professionnel avant réutilisation. Si la bombonne prend feu au niveau du robinet, il faut s’éloigner immédiatement et appeler le 9-1-1 sans tenter d’éteindre le feu. Pour l’entreposage, le barbecue peut être rangé à l’intérieur comme dans un cabanon, mais sans sa bombonne ; la bombonne doit être conservée dehors, debout et hors de portée des enfants."
Prévention incendie – mesures de base au domicile,"prévention incendie, avertisseur fumée, extincteur cuisine, plan évacuation, exercice annuel","Pour se protéger contre les incendies, il faut installer un avertisseur de fumée à chaque étage, vérifier son bon fonctionnement une fois par mois, remplacer les avertisseurs tous les 10 ans ou avant s’ils sont défectueux, installer un extincteur portatif de préférence de type ABC dans la cuisine, dessiner un plan d’évacuation et s’exercer une fois par an avec sa famille."
Incendie – conduite à tenir lors du départ de feu,"incendie, 911, porte chaude, fenêtre, marche à quatre pattes, point de rassemblement, couvertures, ne pas rentrer","Si un feu se déclare, il faut appeler le 9-1-1. L’extincteur ne doit être utilisé que pour un début d’incendie. Il faut fermer les portes et fenêtres de la pièce d’origine du feu pour limiter sa propagation, ne pas ouvrir une porte chaude, faire sortir calmement et rapidement tous les occupants, marcher à quatre pattes sous la fumée, s’envelopper de couvertures la nuit plutôt que chercher ses vêtements, rejoindre le point de rassemblement et ne jamais retourner à l’intérieur."
Évacuation et confinement – retrouver sa famille et rester chez soi,"évacuation, école, garderie, lieu de rassemblement, confinement, ruban adhésif, prise d’air extérieur","En cas d’évacuation, pour retrouver les membres de sa famille, il faut connaître les directives d’urgence de l’école et de la garderie des enfants et convenir d’un lieu de rassemblement si les enfants ne sont pas à l’école. Si les autorités demandent de rester chez soi, il faut disposer de suffisamment d’eau et de nourriture pour trois jours, suivre les directives des autorités et les nouvelles. Si la situation l’exige, il faut calfeutrer les portes et les fenêtres avec du ruban adhésif plastifié, éteindre tous les systèmes avec prise d’air extérieur comme l’échangeur d’air, le climatiseur, la thermopompe, la hotte de cuisine ou la sécheuse, et boucher leurs prises d’air extérieures avec des chiffons ou linges humides."
